,Precision,Recall,TP count,FP count,GT count
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,0.0,0.0,0.0,1.0,1.0
authors,1.0,1.0,5.0,0.0,5.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.0,0.0,0.0,13.0,1.0
category_observed_name,0.0,0.0,0.0,13.0,1.0
ore_unit_observed_name,0.0,0.0,0.0,13.0,1.0
ore_value,0.0,0.0,0.0,13.0,1.0
grade_unit_observed_name,0.0,0.0,0.0,13.0,1.0
grade_value,0.0,0.0,0.0,13.0,1.0
cutoff_grade_unit_observed_name,0.07692307692307693,1.0,1.0,12.0,1.0
cutoff_grade_value,0.07692307692307693,1.0,1.0,12.0,1.0
contained_metal,0.0,0.0,0.0,13.0,1.0
zone,0.07692307692307693,1.0,1.0,12.0,1.0
