,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,0.0,0.0,0.0,1.0,1.0
state_or_province_observed_name,0.0,0.0,0.0,1.0,1.0
authors,1.0,1.0,1.0,0.0,1.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.125,1.0,12.0,84.0,12.0
category_observed_name,0.125,1.0,12.0,84.0,12.0
ore_unit_observed_name,0.125,1.0,12.0,84.0,12.0
ore_value,0.0,0.0,0.0,96.0,12.0
grade_unit_observed_name,0.125,1.0,12.0,84.0,12.0
grade_value,0.11458333333333333,0.9166666666666666,11.0,85.0,12.0
cutoff_grade_unit_observed_name,0.125,1.0,12.0,84.0,12.0
cutoff_grade_value,0.125,1.0,12.0,84.0,12.0
contained_metal,0.0625,0.5,6.0,90.0,12.0
zone,0.0,0.0,0.0,96.0,12.0
